 INFO  Accepting connections at http://localhost:4174
 HTTP  2026/5/10 20:03:52 127.0.0.1 GET /downloads.html
 HTTP  2026/5/10 20:03:52 127.0.0.1 Returned 301 in 9 ms
 HTTP  2026/5/10 20:03:52 127.0.0.1 GET /downloads
 HTTP  2026/5/10 20:03:52 127.0.0.1 Returned 200 in 3 ms
 HTTP  2026/5/10 20:04:37 ::1 GET /downloads.html
 HTTP  2026/5/10 20:04:37 ::1 Returned 301 in 9 ms
 HTTP  2026/5/10 20:04:38 ::1 GET /downloads
 HTTP  2026/5/10 20:04:38 ::1 Returned 200 in 3 ms
 HTTP  2026/5/10 20:04:51 ::1 HEAD /ai-star-map.zip
 HTTP  2026/5/10 20:04:51 ::1 Returned 200 in 10 ms
 HTTP  2026/5/10 20:04:53 ::1 HEAD /ai-star-map-dist.zip
 HTTP  2026/5/10 20:04:53 ::1 Returned 200 in 4 ms
